name,exit_model,filter_name,fast_ema,slow_ema,exposure,slice,start,end,trades,total_return,final_equity,annualized_multiple,max_dd,win_rate,profit_factor,avg_trade,median_trade,worst_trade,trades_per_day,avg_mfe_capture,avg_giveback,long_trades,short_trades,armed_trades,partial_trades
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx18,C_staged_p2p2_dd1p8_sl2,slope_adx18,21,96,2.0,train_first_60pct,2026-03-25 00:00:00+00:00,2026-05-19 21:50:24+00:00,683,-0.8752927804558608,0.12470721954413924,1.2405720490007735e-06,-0.8777600827889085,0.20937042459736457,0.19708570216556204,-0.003032958766678538,-0.003487305686857398,-0.014754029644354124,12.216061527454839,0.1656914927397264,0.005626906378359282,329,354,474,412
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx18,C_staged_p2p2_dd1p8_sl2,slope_adx18,21,96,2.0,val_next_20pct,2026-05-19 21:50:24+00:00,2026-06-07 13:07:12+00:00,234,-0.41019045402046983,0.5898095459795302,3.2085138207443505e-05,-0.4542799778804196,0.4017094017094017,0.6119818432543646,-0.002186668105982277,-0.003995481167642198,-0.025207028251785,12.555893400107315,0.19127688736052334,0.012506963530695456,112,122,157,136
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx18,C_staged_p2p2_dd1p8_sl2,slope_adx18,21,96,2.0,fwd_last_20pct,2026-06-07 13:07:12+00:00,2026-06-26 04:24:00+00:00,217,-0.51195553487412,0.4880444651258799,7.839408356312252e-07,-0.528669045337405,0.31797235023041476,0.3699558537303197,-0.003270668321833061,-0.004189710610932648,-0.02181513927556333,11.643713110355929,0.16784582357138805,0.009994674306902169,106,111,138,131
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx18,C_staged_p2p2_dd1p8_sl2,slope_adx18,21,96,2.0,recent_30d,2026-05-27 04:24:00+00:00,2026-06-26 04:24:00+00:00,368,-0.691406644961285,0.30859335503871504,6.07129718014194e-07,-0.6993977786053186,0.33967391304347827,0.43027317146391386,-0.003146962851852248,-0.004249198731273049,-0.025207028251785,12.266666666666667,0.17038478990847367,0.011223615835266687,178,190,238,218
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx18,C_staged_p2p2_dd1p8_sl2,slope_adx18,21,96,2.0,recent_14d,2026-06-12 04:24:00+00:00,2026-06-26 04:24:00+00:00,154,-0.4527367701795231,0.5472632298204769,1.47818117352804e-07,-0.4697941980977316,0.2792207792207792,0.2832958690535053,-0.003881115834811582,-0.0048410296355710335,-0.02181513927556333,11.0,0.16138285581027711,0.00928931842098955,78,76,91,87
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx18,C_staged_p2p2_dd1p8_sl2,slope_adx18,21,96,3.0,full,2026-03-25 00:00:00+00:00,2026-06-26 04:24:00+00:00,1134,-0.993370623435606,0.0066293765643940334,2.8896359772765044e-09,-0.9936619321255556,0.2698412698412698,0.34471433485847497,-0.004355722487141625,-0.005375363755435177,-0.037810542377677496,12.169558218565552,0.17155260268265954,0.01188816260926396,547,587,769,679
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx18,C_staged_p2p2_dd1p8_sl2,slope_adx18,21,96,3.0,train_first_60pct,2026-03-25 00:00:00+00:00,2026-05-19 21:50:24+00:00,683,-0.9563006068278496,0.04369939317215045,1.3136199073335116e-09,-0.957589864918742,0.20937042459736457,0.19708570216556148,-0.0045494381500178075,-0.005230958530286097,-0.022131044466531184,12.216061527454839,0.1656914927397264,0.008440359567538924,329,354,474,412
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx18,C_staged_p2p2_dd1p8_sl2,slope_adx18,21,96,3.0,val_next_20pct,2026-05-19 21:50:24+00:00,2026-06-07 13:07:12+00:00,234,-0.552490582388238,0.44750941761176205,1.4330450547977013e-07,-0.6002130424253206,0.4017094017094017,0.6119818432543656,-0.003280002158973415,-0.005993221751463298,-0.037810542377677496,12.555893400107315,0.19127688736052334,0.018760445296043184,112,122,157,136
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx18,C_staged_p2p2_dd1p8_sl2,slope_adx18,21,96,3.0,fwd_last_20pct,2026-06-07 13:07:12+00:00,2026-06-26 04:24:00+00:00,217,-0.6610035867297651,0.3389964132702349,6.20221290443446e-10,-0.6782372058259456,0.31797235023041476,0.3699558537303201,-0.004906002482749591,-0.006284565916398973,-0.03272270891334499,11.643713110355929,0.16784582357138805,0.014992011460353252,106,111,138,131
HYPE_1M_EMA_DEVIATION_TP_FAST21_SLOW96_C_staged_p2p2_dd1p8_sl2_slope_adx18,C_staged_p2p2_dd1p8_sl2,slope_adx18,21,96,3.0,recent_30d,2026-05-27 04:24:00+00:00,2026-06-26 04:24:00+00:00,368,-0.8308308665789206,0.16916913342107945,4.0254060240151927e-10,-0.8373488419794856,0.33967391304347827,0.43027317146391236,-0.004720444277778371,-0.006373798096909574,-0.037810542377677496,12.266666666666667,0.17038478990847367,0.01683542375290003,178,190,238,218
