config,signal_ts,entry_ts,exit_ts,side,entry_price,final_exit_price,exit_reason,bars_held,raw_ret_1x,net_ret_1x,mae_1x,mfe_1x,max_dev_atr,max_drawdown_atr_after_arm,armed,partial_taken,partial_fraction,partial_ts,adx14,atr_bps,slow_slope_atr
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-28 08:37:00+00:00,2026-03-28 08:38:00+00:00,2026-03-28 08:46:00+00:00,short,39.513,39.60153408134867,hard_stop,8,-0.002240631724968134,-0.003740631724968134,-0.0034449355897955823,0.0009626345788473767,0.8879632991047092,0.0,False,False,0.0,,26.786072817259907,14.937922883962994,0.0882130749274415
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-28 13:22:00+00:00,2026-03-28 13:23:00+00:00,2026-03-28 13:25:00+00:00,short,40.011,40.06,opposite_cross,2,-0.0012246632176151628,-0.002724663217615163,-0.0027231652521218495,0.0002750000000000252,0.34861939417512666,0.0,False,False,0.0,,22.012327287444606,14.117656407506233,0.06819720587219981
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-28 13:24:00+00:00,2026-03-28 13:25:00+00:00,2026-03-28 13:25:00+00:00,long,40.06,39.978126324970916,hard_stop,0,-0.0020437762114100533,-0.0035437762114100533,-0.0015,0.0,0.0,0.0,False,False,0.0,,21.79265908489666,13.625174742733364,0.013139604043492641
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-28 13:25:00+00:00,2026-03-28 13:26:00+00:00,2026-03-28 13:40:00+00:00,short,39.954,40.04609698395558,hard_stop,14,-0.0023050754356404024,-0.0038050754356404024,-0.003224008695000445,0.0011777382414113191,0.748856069135688,0.0,False,False,0.0,,20.306296421061067,15.367169570936468,0.07822003588132596
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-28 15:36:00+00:00,2026-03-28 15:37:00+00:00,2026-03-28 15:41:00+00:00,short,40.038,40.098,opposite_cross,4,-0.0014985763524653084,-0.0029985763524653084,-0.003095930377537247,0.00024982512241433774,0.5743204686307917,0.0,False,False,0.0,,22.00731908286148,13.470559283885615,0.16912012886607677
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-29 00:11:00+00:00,2026-03-29 00:12:00+00:00,2026-03-29 00:13:00+00:00,long,39.503,39.462,opposite_cross,1,-0.0010378958560108842,-0.0025378958560108842,-0.0025378958560108842,0.0,-0.5647603516722711,0.0,False,False,0.0,,23.628710329676476,7.815722665511652,0.16812148404988742
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-29 00:22:00+00:00,2026-03-29 00:23:00+00:00,2026-03-29 00:30:00+00:00,short,39.4,39.46387815881648,hard_stop,7,-0.0016212730664080244,-0.0031212730664080244,-0.0029699173805058363,0.0005332791589425234,1.0366720408864205,0.0,False,False,0.0,,20.52723711219552,10.808487109387148,0.24460456195077798
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-29 01:52:00+00:00,2026-03-29 01:53:00+00:00,2026-03-29 02:26:00+00:00,long,39.467,39.478,opposite_cross,33,0.0002787138622140084,-0.0012212861377859916,-0.0025895178250183158,0.0021030227785237,1.402247909855913,0.0,False,False,0.0,,25.712620694620547,10.730547006008164,0.02041231785832759
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-29 03:15:00+00:00,2026-03-29 03:16:00+00:00,2026-03-29 03:24:00+00:00,long,39.741,39.877,armed_peak_drawdown_next_open,8,0.0034221584761331414,0.0019221584761331414,-0.0015,0.006164917843033635,2.2989515489194163,2.069408707738774,True,False,0.0,,30.943231485387315,10.285419051182469,0.30544708327047065
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-29 09:05:00+00:00,2026-03-29 09:06:00+00:00,2026-03-29 10:41:00+00:00,short,39.795,39.372,opposite_cross,95,0.010629476064832333,0.009129476064832333,-0.002002323245008096,0.01440224318123895,2.045022515431668,0.0,False,False,0.0,,20.38001538806319,5.579311347662125,0.060224957675562275
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-29 11:22:00+00:00,2026-03-29 11:23:00+00:00,2026-03-29 11:29:00+00:00,short,39.425,39.49393070142481,hard_stop,6,-0.0017484007970782756,-0.0032484007970782756,-0.0030448513397153807,0.0005583331218435017,0.8754389254068393,0.0,False,False,0.0,,28.72391221339399,11.656005313854797,0.1807960043000774
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-29 12:15:00+00:00,2026-03-29 12:16:00+00:00,2026-03-29 12:17:00+00:00,short,39.31,39.36742617575977,hard_stop,1,-0.001460854127696809,-0.002960854127696809,-0.002440351233893244,0.00010176563374564296,-0.0942067894875668,0.0,False,False,0.0,,21.02115751487339,9.739027517979123,0.19173722602947907
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-29 12:17:00+00:00,2026-03-29 12:18:00+00:00,2026-03-29 12:34:00+00:00,long,39.413,39.35040549130918,hard_stop,16,-0.0015881690987952224,-0.0030881690987952224,-0.0025402659021134797,0.001420850988252731,1.3250717099540543,0.0,False,False,0.0,,20.171563950624705,10.58779399196827,0.11366962789297899
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-29 14:45:00+00:00,2026-03-29 14:46:00+00:00,2026-03-29 15:00:00+00:00,short,38.789,38.85479909159807,hard_stop,14,-0.001696333795613958,-0.003196333795613958,-0.003172929428115477,0.0010064516129033585,1.4950569253496293,0.0,False,False,0.0,,30.786994248194052,11.308600429331221,0.06117020409338114
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-29 15:00:00+00:00,2026-03-29 15:01:00+00:00,2026-03-29 15:05:00+00:00,long,38.9,38.84386608395181,hard_stop,4,-0.0014430312608788576,-0.0029430312608788576,-0.0027853470437017567,0.0008483290488432438,1.40746974293097,0.0,False,False,0.0,,24.639731843786375,9.619961106087397,0.15445262056752243
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-29 17:05:00+00:00,2026-03-29 17:06:00+00:00,2026-03-29 17:21:00+00:00,long,38.977,38.943,opposite_cross,15,-0.0008723093106191016,-0.0023723093106191016,-0.002705839341149817,0.001205839341150039,1.3756404365522152,0.0,False,False,0.0,,20.773310974480495,8.923270989050927,0.16117217708242462
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-29 20:16:00+00:00,2026-03-29 20:17:00+00:00,2026-03-29 20:30:00+00:00,long,38.67,38.862,armed_peak_drawdown_next_open,13,0.004965089216446783,0.003465089216446783,-0.0023275148694079082,0.0068011378329453365,3.0508225698003164,1.8215871480348271,True,False,0.0,,22.954795750561722,6.792915120237876,0.052625176873559575
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-30 06:36:00+00:00,2026-03-30 06:37:00+00:00,2026-03-30 07:00:00+00:00,long,38.229,38.258,opposite_cross,23,0.0007585864134558307,-0.0007414135865441694,-0.0019970048915744485,0.0027989222841298123,1.265568193090095,0.0,False,False,0.0,,26.48500073699837,10.686215171261166,0.010010452952236855
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-30 15:18:00+00:00,2026-03-30 15:19:00+00:00,2026-03-30 15:27:00+00:00,short,38.071,38.101,opposite_cross,8,-0.0007880013658689844,-0.0022880013658689844,-0.0034399659195177277,0.0012097304404996567,0.5829372219331682,0.0,False,False,0.0,,35.15362852354461,14.910884614153913,0.03600572008991458
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-30 18:25:00+00:00,2026-03-30 18:26:00+00:00,2026-03-30 18:57:00+00:00,short,37.225,37.217,opposite_cross,31,0.00021490933512435806,-0.001285090664875642,-0.003109226230387395,0.004181278661990806,1.6718486401897084,0.0,False,False,0.0,,29.766679856686306,17.13576571561362,0.10855741951728189
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-30 19:39:00+00:00,2026-03-30 19:40:00+00:00,2026-03-30 19:41:00+00:00,short,36.727,36.74,opposite_cross,1,-0.0003539630244779879,-0.001853963024477988,-0.0020170630816960787,2.722866633986243e-05,-0.0930870023415881,0.0,False,False,0.0,,29.20589336906528,17.711243416451033,0.20438290048605015
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm2p2_dd1p8_sl1p5_slope_adx20_atr3p5_100,2026-03-30 20:53:00+00:00,2026-03-30 20:54:00+00:00,2026-03-30 21:25:00+00:00,long,36.882,37.169,armed_peak_drawdown_next_open,31,0.007781573667371644,0.006281573667371644,-0.0028285613578438716,0.010601377365652809,2.5171947428442416,2.1117263499297354,True,False,0.0,,25.007102652132946,10.580986959306362,0.17324519814344416
