name,fast_ema,slow_ema,exit_model,filter_name,exposure,month,trades,total_return,final_equity,annualized_multiple,max_dd,win_rate,profit_factor,avg_trade,median_trade,worst_trade,trades_per_day,avg_mfe_capture,avg_giveback,long_trades,short_trades,armed_trades,partial_trades
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2p5_dd1p2_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2p5_dd1p2_sl2,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.22971720828975206,0.7702827917102479,0.04552305361129736,-0.22971720828975206,0.18452380952380953,0.4409020135309019,-0.0015381973680836417,-0.0027418592541589835,-0.00844711118868907,5.4447245228664025,0.1377494209547778,0.00406843276736885,85,83,25,11
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2p5_dd1p2_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2p5_dd1p2_sl2,slope_adx20_atr3p5_100,1.0,2026-06,126,-0.1767156948066243,0.8232843051933757,0.0587056567661117,-0.18503266384293338,0.23809523809523808,0.530194662969155,-0.0015248455380663928,-0.0035428222233358495,-0.010430987821380132,5.029800681950489,0.14503201078656305,0.005811431071135722,64,62,22,8
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2p2_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2p2_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.06921154657191753,0.9307884534280825,0.022394299544704777,-0.0745599572505431,0.21153846153846154,0.4110176569597264,-0.001371845586706037,-0.0024108788020890657,-0.005622821125760234,7.540785498489426,0.1558568810827833,0.003459030264575934,26,26,6,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2p2_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2p2_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.2644656865854478,0.7355343134145522,0.023069873859448167,-0.26450250036307277,0.14285714285714285,0.2484078266905368,-0.001748116324276745,-0.002415287713466606,-0.00552049027994511,5.879470847623714,0.10567894608101208,0.0030390536176822004,92,83,18,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2p2_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2p2_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.23571187782650393,0.7642881221734961,0.0415017133982498,-0.23571187782650393,0.19047619047619047,0.42625196123334996,-0.0015839245500425185,-0.002761466740850037,-0.00844711118868907,5.4447245228664025,0.11956752392819965,0.004335866177287757,85,83,18,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2p2_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2p2_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-06,126,-0.17372805300624283,0.8262719469937572,0.06188957212750245,-0.17905432515116992,0.21428571428571427,0.5504503587158696,-0.0014940698874440998,-0.0035592556040476273,-0.010430987821380132,5.029800681950489,0.12394097236585531,0.006265283842014507,64,62,15,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.07563043697728089,0.9243695630227191,0.015522218597341224,-0.08236343141486524,0.19230769230769232,0.35935838014497623,-0.0015053863748295997,-0.0024108788020890657,-0.005622821125760234,7.540785498489426,0.15433614232296106,0.003322369915976485,26,26,8,8
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.2548717919471333,0.7451282080528667,0.027046364181310286,-0.2557769827746853,0.17142857142857143,0.25840974663299915,-0.0016748808332218445,-0.002380197534956162,-0.00552049027994511,5.879470847623714,0.1284936427791937,0.0028123933442677817,92,83,30,29
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.23266632377877072,0.7673336762212293,0.04350217771770706,-0.23266632377877072,0.19047619047619047,0.4285380472380321,-0.0015614451760610794,-0.0027307917318815642,-0.00844711118868907,5.4447245228664025,0.1305142942449171,0.004227645482966096,85,83,25,25
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-06,126,-0.1805379408005039,0.8194620591994961,0.05485460653537286,-0.18881629680680656,0.23809523809523808,0.5192077448199007,-0.0015629042913823435,-0.0035428222233358495,-0.010430987821380132,5.029800681950489,0.13472817668474968,0.006177932254032572,64,62,22,22
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.07551052061218333,0.9244894793878167,0.01562923608372273,-0.08082273670771412,0.19230769230769232,0.36260455669606595,-0.0015029947933571386,-0.0024108788020890657,-0.005622821125760234,7.540785498489426,0.1472990607753111,0.003319606310719419,26,26,8,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.26702519194981533,0.7329748080501847,0.02210384547608611,-0.2670618776232042,0.14285714285714285,0.23521872240840855,-0.0017685819797208047,-0.002415287713466606,-0.00552049027994511,5.879470847623714,0.11067163605249185,0.0029155235369553167,92,83,30,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.23341753339799898,0.766582466602001,0.043000710950765623,-0.23341753339799898,0.18452380952380953,0.4333559529314905,-0.001565681306734526,-0.002761466740850037,-0.00844711118868907,5.4447245228664025,0.1209713383304895,0.004232236902018606,85,83,25,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2_dd1p8_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2_dd1p8_sl2,slope_adx20_atr3p5_100,1.0,2026-06,126,-0.1719304404951637,0.8280695595048363,0.06388202371917931,-0.1772683003183122,0.2222222222222222,0.5533047684912576,-0.001476912935158021,-0.0035592556040476273,-0.010430987821380132,5.029800681950489,0.13056962051468918,0.006090553940449793,64,62,22,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2p2_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2p2_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.07103455274590909,0.9289654472540909,0.02018553104707616,-0.07637248823476162,0.21153846153846154,0.39479084806344517,-0.0014096407369914908,-0.0024108788020890657,-0.005622821125760234,7.540785498489426,0.1541975301677769,0.003453283633538382,26,26,6,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2p2_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2p2_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.26270585110665234,0.7372941488933477,0.02375434627139247,-0.26304540068257165,0.14857142857142858,0.25086425006941854,-0.0017344952222314463,-0.002413725113013464,-0.00552049027994511,5.879608026131591,0.10876090534723519,0.00301057247838721,92,83,18,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2p2_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2p2_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.2352915541907803,0.7647084458092197,0.041772697744522316,-0.2352915541907803,0.19642857142857142,0.4270000265398815,-0.0015807104013223798,-0.002761466740850037,-0.00844711118868907,5.4447245228664025,0.12299645101375571,0.004303256131935399,85,83,18,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_B_devtrail_arm2p2_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,B_devtrail_arm2p2_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-06,126,-0.17720241930059577,0.8227975806994042,0.05820164441613709,-0.1825062951624562,0.21428571428571427,0.5365069865884697,-0.0015282096241439058,-0.0035428222233358495,-0.010430987821380132,5.029800681950489,0.12478861618310923,0.006199894637670072,64,62,15,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2p5_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2p5_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.0810067803197908,0.9189932196802092,0.011396500370280612,-0.08624022486152949,0.19230769230769232,0.31377477365539075,-0.001618136673397059,-0.0024108788020890657,-0.005622821125760234,7.540785498489426,0.1381493866175068,0.0034032381229536952,26,26,8,3
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2p5_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2p5_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.26173855797314816,0.7382614420268518,0.02413962463331289,-0.2626167155862077,0.15428571428571428,0.2438156075290981,-0.001727607565476985,-0.002413725113013464,-0.00552049027994511,5.879608026131591,0.12130966756819131,0.0028524526917887475,92,83,30,9
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2p5_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2p5_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.23444879374595018,0.7655512062540498,0.04232091509075724,-0.23444879374595018,0.19047619047619047,0.4264239772357388,-0.0015750475950028781,-0.0027418592541589835,-0.00844711118868907,5.4447245228664025,0.12866336153572816,0.004213262427079579,85,83,25,12
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_C_staged_p2p5_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,C_staged_p2p5_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-06,126,-0.17384366962591147,0.8261563303740885,0.06176342638236668,-0.18218965238730778,0.23809523809523808,0.5393587530884114,-0.0014971482200528989,-0.0035428222233358495,-0.010430987821380132,5.029800681950489,0.13880892184535043,0.006011036018948737,64,62,22,8
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm1p8_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,D_exhaust_arm1p8_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-03,52,-0.0652071702759135,0.9347928297240865,0.028111754257330663,-0.07683564573270474,0.21153846153846154,0.4305462543485688,-0.0012888186511678785,-0.002353101528208,-0.005622821125760234,7.540785498489426,0.18900361266660326,0.0028681139897476053,26,26,14,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm1p8_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,D_exhaust_arm1p8_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-04,175,-0.2624462086596443,0.7375537913403557,0.023857204882809464,-0.2627858778099329,0.16,0.23307658996913405,-0.0017335141253587833,-0.002380197534956162,-0.00552049027994511,5.879608026131591,0.12872214976226537,0.0027638991845782344,92,83,38,0
HYPE_1M_EMA_DEVIATION_TP_FAST8_SLOW21_D_exhaust_arm1p8_dd1p5_sl2_slope_adx20_atr3p5_100,8,21,D_exhaust_arm1p8_dd1p5_sl2,slope_adx20_atr3p5_100,1.0,2026-05,168,-0.2641897920829348,0.7358102079170652,0.026475956144349243,-0.2641897920829348,0.20238095238095238,0.33567749372122724,-0.0018145664059625356,-0.0027146516624972903,-0.00844711118868907,5.4447245228664025,0.13025593798420365,0.004037651094587681,85,83,32,0
